Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Specie
a4e77ce45a72cfe47143d2891e4d58c3	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Lactarius	s__Lactarius_rufus
7fabdd40b64b8cf44c64506db22ca6f9	k__Fungi	p__Ascomycota	c__Leotiomycetes				
f979e8e3ea51f89340d9ed8e89a75653	k__Fungi	p__Ascomycota	c__Leotiomycetes				
048145b122276707c96a91a370938ae5	k__Fungi	p__Ascomycota					
d6fe1a4071d1b687dcd971af0ed8f99c	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleomassariaceae		
5edbbbcecf69428d79fc713ac1412d60	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Lycoperdaceae	g__Lycoperdon	
5849fb551952da456c5e4244da62e69e	k__Fungi	p__Ascomycota					
9b3377b65f8688b463548cb28f5044e3	k__Fungi	p__Mucoromycota	c__Umbelopsidomycetes	o__Umbelopsidales	f__Umbelopsidaceae	g__Umbelopsis	s__Umbelopsis_dimorpha
c0d704ad1cbde668fc294ed356980eb3	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__unidentified	f__unidentified	g__unidentified	s__unidentified
d9aed31cd0f43559d05f6e0ca44549d1	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Gorgomyces	s__unidentified
50a7a969f3f9fc26ce26b17c2596a283	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Pezoloma	s__Pezoloma_ericae
